metric,value
counts.requested,733
counts.successful,733
counts.quality_rejected,0
counts.errors,0
counts.evaluated,733
coverage,1.0
metrics.qwk,0.9330310655544621
metrics.accuracy,0.8308321964529332
metrics.mean_absolute_error,0.1882673942701228
metrics.within_one_grade_accuracy,0.9809004092769441
metrics.macro_f1,0.6988263454022918
metrics.referable_sensitivity,0.9463087245146614
metrics.referable_specificity,0.9402298848413264
metrics.referable_precision,0.9155844152871478
metrics.referable_accuracy,0.9427012277022236
metrics.referable_f1,0.9306930190133891
metrics.referable_auc,0.9841703309419115
runtime.total_seconds,704.1910643279989
runtime.images_per_second,1.040910680540221
configuration.csv,/home/ovoabhik/Downloads/Larp/Netrai/data/aptos2019/train.csv
configuration.image_dir,/home/ovoabhik/Downloads/Larp/Netrai/data/aptos2019/train_images
configuration.quality_threshold,0.0
configuration.enhancement_threshold,0.7
configuration.enhancement_enabled,False
configuration.segmentation_enabled,False
configuration.batch_size,16
configuration.fold,0
configuration.n_folds,5
configuration.sample_per_grade,
configuration.seed,42
